11135,서울 강남구
11134,서울 강동구
11142,서울 강북구
11157,서울 강서구
11151,서울 관악구
11143,서울 광진구
11152,서울 구로구
11153,서울 금천구
11139,서울 노원구
11132,서울 도봉구
11130,서울 동대문구
11156,서울 동작구
11121,서울 마포구
11120,서울 서대문구
11137,서울 서초구
11133,서울 성동구
11136,서울 성북구
11138,서울 송파구
11158,서울 양천구
11150,서울 영등포구
11140,서울 용산구
11122,서울 은평구
11110,서울 종로구
11100,서울 중구
11131,서울 중랑구
26618,부산 강서구
26609,부산 금정구
26619,부산 기장군
26608,부산 남구
26601,부산 동구
26607,부산 동래구
26614,부산 부산진구
26616,부산 북구
26617,부산 사상구
26604,부산 사하구
26602,부산 서구
26613,부산 수영구
26611,부산 연제구
26606,부산 영도구
26600,부산 중구
26612,부산 해운대구
27705,대구 남구
27704,대구 달서구
27711,대구 달성군
27701,대구 동구
27702,대구 북구
27703,대구 서구
27706,대구 수성구
27700,대구 중구
28417,인천 강화군
28407,인천 계양구
28405,인천 남동구
28401,인천 동구
28402,인천 미추홀구
28403,인천 부평구
28404,인천 서구
28406,인천 연수구
28409,인천 옹진군
28400,인천 중구
29506,광주 광산구
29503,광주 남구
29501,광주 동구
29500,광주 북구
29502,광주 서구
30306,대전 대덕구
30300,대전 동구
30302,대전 서구
30305,대전 유성구
30301,대전 중구
31680,울산 남구
31682,울산 동구
31683,울산 북구
31689,울산 울주군
31681,울산 중구
36339,세종 
41477,경기 가평군
41410,경기 고양시
41427,경기 과천시
41423,경기 광명시
41464,경기 광주시
41471,경기 구리시
41435,경기 군포시
41415,경기 김포시
41472,경기 남양주시
41483,경기 동두천시
41420,경기 부천시
41461,경기 성남시
41440,경기 수원시
41429,경기 시흥시
41425,경기 안산시
41456,경기 안성시
41430,경기 안양시
41482,경기 양주시
41476,경기 양평군
41469,경기 여주군
41486,경기 연천군
41447,경기 오산시
41446,경기 용인시
41437,경기 의왕시
41480,경기 의정부시
41467,경기 이천시
41413,경기 파주시
41450,경기 평택시
41487,경기 포천군
41465,경기 하남시
41445,경기 화성시
42210,강원 강릉시
42219,강원 고성군
42240,강원 동해시
42245,강원 삼척시
42217,강원 속초시
42255,강원 양구군
42215,강원 양양군
42230,강원 영월군
42220,강원 원주시
42252,강원 인제군
42233,강원 정선군
42269,강원 철원군
42200,강원 춘천시
42235,강원 태백시
42232,강원 평창군
42250,강원 홍천군
42209,강원 화천군
42225,강원 횡성군
43367,충북 괴산군
43395,충북 단양군
43376,충북 보은군
43370,충북 영동군
43373,충북 옥천군
43369,충북 음성군
43390,충북 제천시
43368,충북 증평군
43365,충북 진천군
43360,충북 청주시
43380,충북 충주시
44321,충남 계룡시
44314,충남 공주시
44312,충남 금산군
44320,충남 논산시
44343,충남 당진군
44353,충남 보령시
44323,충남 부여군
44352,충남 서산시
44325,충남 서천군
44336,충남 아산시
44340,충남 예산군
44330,충남 천안시
44345,충남 청양군
44357,충남 태안군
44350,충남 홍성군
45585,전북 고창군
45573,전북 군산시
45576,전북 김제시
45590,전북 남원시
45568,전북 무주군
45579,전북 부안군
45595,전북 순창군
45565,전북 완주군
45570,전북 익산시
45566,전북 임실군
45597,전북 장수군
45560,전북 전주시
45580,전북 정읍시
45567,전북 진안군
46527,전남 강진군
46548,전남 고흥군
46516,전남 곡성군
46545,전남 광양시
46542,전남 구례군
46520,전남 나주시
46517,전남 담양군
46530,전남 목포시
46534,전남 무안군
46546,전남 보성군
46540,전남 순천시
46535,전남 신안군
46550,전남 여수시
46513,전남 영광군
46526,전남 영암군
46537,전남 완도군
46515,전남 장성군
46529,전남 장흥군
46539,전남 진도군
46525,전남 함평군
46536,전남 해남군
46519,전남 화순군
47712,경북 경산시
47780,경북 경주시
47717,경북 고령군
47730,경북 구미시
47716,경북 군위군
47741,경북 금릉군
47740,경북 김천시
47745,경북 문경시
47755,경북 봉화군
47742,경북 상주시
47719,경북 성주군
47760,경북 안동시
47766,경북 영덕군
47764,경북 영양군
47750,경북 영주시
47770,경북 영천시
47757,경북 예천군
47799,경북 울릉군
47767,경북 울진군
47769,경북 의성군
47714,경북 청도군
47763,경북 청송군
47718,경북 칠곡군
47790,경북 포항시
48656,경남 거제시
48670,경남 거창군
48638,경남 고성군
48621,경남 김해시
48668,경남 남해군
48627,경남 밀양시
48664,경남 사천시
48666,경남 산청군
48626,경남 양산시
48636,경남 의령군
48663,경남 진양군
48660,경남 진주시
48635,경남 창녕군
48634,경남 창원시
48650,경남 통영시
48667,경남 하동군
48637,경남 함안군
48676,경남 함양군
48678,경남 합천군
50697,제주 서귀포시
50690,제주 제주시
